date, pm25, pm10, o3, no2, so2, co
7/16/2016,26,15,16,16,7,3
7/17/2016,42,30,20,26,8,4
7/18/2016,71,40,48,33,6,5
7/19/2016,82,40,46,33,5,5
7/20/2016,86,35,38,27,6,4
7/21/2016,80,40,43,28,5,4
7/22/2016,87,48,30,25,6,4
7/23/2016,95,41,14,19,6,3
7/24/2016,88,49,23,25,7,3
7/25/2016,102,38,15,21,7,3
7/26/2016,89,38,19,20,6,3
7/27/2016,87,56,44,20,5,5
7/28/2016,121,47,17,32,6,6
7/29/2016,99,48,35,25,6,4
7/30/2016,104,43,20,16,5,3
7/31/2016,95,35,14,21,5,3
8/1/2016,86,29,13,25,5,4
8/2/2016,71,31,37,29,5,4
8/3/2016,73,34,35,27,6,4
8/4/2016,77,43,59,34,6,5
8/5/2016,92,62,78,33,6,6
8/6/2016,132,41,51,23,7,4
8/7/2016,99,47,39,23,6,4
8/8/2016,100,33,37,27,5,4
8/9/2016,77,59,38,29,7,5
8/10/2016,130,37,39,24,6,4
8/11/2016,82,50,43,24,6,4
8/12/2016,105,39,24,17,5,3
8/13/2016,94,41,17,12,5,3
8/14/2016,102,44,37,20,5,5
8/15/2016,90,56,47,30,7,6
8/16/2016,106,50,50,28,6,5
8/17/2016,101,60,63,37,7,6
8/18/2016,119,68,46,46,6,7
8/19/2016,142,40,38,29,6,5
8/20/2016,85,33,56,19,6,4
8/21/2016,75,35,40,28,5,4
8/22/2016,81,38,31,30,5,5
8/23/2016,86,43,32,34,7,6
8/24/2016,90,35,26,30,6,5
8/25/2016,77,16,24,18,5,3
8/26/2016,35,15,27,18,5,3
8/27/2016,27,13,22,13,4,3
8/28/2016,25,18,21,20,5,3
8/29/2016,32,36,22,20,5,4
8/30/2016,51,21,18,18,6,4
8/31/2016,36,63,48,30,6,7
9/1/2016,114,42,33,29,5,6
9/2/2016,93,26,26,26,5,6
9/3/2016,64,27,29,27,4,6
9/4/2016,60,35,32,30,5,5
9/5/2016,72,63,29,34,8,7
9/6/2016,114,78,31,33,6,8
9/7/2016,156,57,18,39,6,8
9/8/2016,114,50,30,38,5,7
9/9/2016,98,48,38,33,4,7
9/10/2016,98,47,35,25,5,6
9/11/2016,103,34,20,29,4,5
9/12/2016,78,20,23,28,5,4
9/13/2016,44,37,41,26,5,5
9/14/2016,80,47,34,26,5,6
9/15/2016,100,58,44,25,8,6
9/16/2016,121,35,32,16,5,5
9/17/2016,77,27,33,12,4,3
9/18/2016,61,15,21,16,5,3
9/19/2016,26,19,24,19,4,3
9/20/2016,38,38,24,28,4,4
9/21/2016,85,45,25,30,4,5
9/22/2016,97,56,41,40,6,6
9/23/2016,114,66,48,44,7,7
9/24/2016,131,56,34,38,6,6
9/25/2016,124,51,21,46,6,7
9/26/2016,105,42,6,44,6,7
9/27/2016,90,39,9,35,5,6
9/28/2016,82,17,13,19,5,5
9/29/2016,32,34,9,33,5,5
9/30/2016,56,53,16,44,6,8
4/1/2016,100,77,53,66,12,8
4/2/2016,127,56,25,31,7,6
4/3/2016,109,30,25,39,7,5
4/4/2016,54,63,32,47,11,6
4/5/2016,81,71,28,63,12,8
4/6/2016,112,48,39,35,7,6
4/7/2016,90,69,32,41,8,7
4/8/2016,114,98,18,50,9,10
4/9/2016,160,111,48,36,9,11
4/10/2016,168,52,34,35,6,5
4/11/2016,81,61,28,42,7,6
4/12/2016,95,63,27,56,7,8
4/13/2016,104,61,20,48,7,7
4/14/2016,102,59,41,47,8,7
4/15/2016,96,60,27,51,7,7
4/16/2016,94,42,39,17,6,5
4/17/2016,62,66,34,31,8,6
4/18/2016,88,50,29,30,6,5
4/19/2016,81,66,27,53,7,7
4/20/2016,106,32,32,36,5,5
4/21/2016,73,68,30,39,6,8
4/22/2016,130,143,29,38,6,7
4/23/2016,135,124,42,36,6,6
4/24/2016,101,76,28,63,7,7
4/25/2016,93,79,44,51,7,7
4/26/2016,107,58,45,26,6,4
4/27/2016,73,60,37,36,6,5
4/28/2016,81,67,37,37,7,6
4/29/2016,100,78,63,35,11,7
4/30/2016,125,51,43,29,8,6
5/1/2016,84,56,32,35,7,6
5/2/2016,90,22,29,18,5,4
5/3/2016,46,55,38,19,6,3
5/4/2016,51,61,36,44,8,7
5/5/2016,78,47,21,38,5,6
5/6/2016,85,99,37,30,8,6
5/7/2016,81,60,45,32,7,6
5/8/2016,66,64,41,38,8,6
5/9/2016,77,36,37,26,6,5
5/10/2016,61,33,35,28,6,5
5/11/2016,57,33,41,39,8,5
5/12/2016,65,41,45,26,6,6
5/13/2016,79,40,44,42,7,6
5/14/2016,77,40,39,24,7,5
5/15/2016,77,35,39,23,8,6
5/16/2016,63,69,44,44,13,8
5/17/2016,121,55,45,55,10,7
5/18/2016,102,45,42,48,7,6
5/19/2016,83,50,57,58,8,7
5/20/2016,97,43,45,37,6,5
5/21/2016,92,59,65,40,8,6
5/22/2016,122,72,52,46,9,7
5/23/2016,145,37,41,27,6,5
5/24/2016,85,82,48,28,8,7
5/25/2016,157,94,35,42,11,9
5/26/2016,173,84,45,45,9,8
5/27/2016,159,78,45,40,10,7
5/28/2016,135,80,64,36,11,7
5/29/2016,133,84,61,37,10,8
5/30/2016,151,81,43,30,10,7
5/31/2016,141,47,45,29,7,5
6/1/2016,88,38,45,34,7,4
6/2/2016,70,51,45,37,9,5
6/3/2016,91,58,35,40,7,6
6/4/2016,99,55,61,30,7,6
6/5/2016,102,27,42,25,6,4
6/6/2016,58,43,36,31,7,5
6/7/2016,89,44,27,32,7,4
6/8/2016,91,58,39,37,7,6
6/9/2016,106,65,49,48,9,7
6/10/2016,121,55,22,28,8,5
6/11/2016,105,32,20,19,6,4
6/12/2016,77,65,36,28,6,7
6/13/2016,120,58,48,43,8,6
6/14/2016,109,41,24,28,6,4
6/15/2016,85,32,35,22,6,5
6/16/2016,70,58,52,27,8,6
6/17/2016,116,68,62,34,9,8
6/18/2016,141,46,42,28,7,6
6/19/2016,101,54,52,33,7,6
6/20/2016,117,61,63,44,8,7
6/21/2016,125,69,42,49,8,8
6/22/2016,143,41,50,31,7,6
6/23/2016,90,48,29,33,6,5
6/24/2016,102,34,36,24,7,4
6/25/2016,71,36,42,22,7,4
6/26/2016,75,38,30,39,9,6
6/27/2016,83,64,45,37,8,6
6/28/2016,133,42,42,37,8,5
6/29/2016,94,31,25,24,7,4
6/30/2016,75,26,21,27,6,4
1/4/2016,91,34,17,26,9,5
1/5/2016,67,58,9,45,11,8
1/6/2016,102,45,14,29,9,6
1/7/2016,79,36,15,32,9,5
1/8/2016,68,40,13,35,9,6
1/9/2016,76,36,21,30,9,5
1/10/2016,74,43,19,31,10,6
1/11/2016,79,53,13,42,9,7
1/12/2016,89,42,20,38,8,6
1/13/2016,76,50,13,42,9,6
1/14/2016,81,51,7,57,10,9
1/15/2016,98,70,4,60,9,10
1/16/2016,134,71,6,56,9,10
1/17/2016,143,56,20,30,8,7
1/18/2016,104,37,22,18,7,4
1/19/2016,59,42,18,34,8,5
1/20/2016,83,53,12,46,8,7
1/21/2016,100,55,12,40,9,7
1/22/2016,99,35,22,17,8,4
1/23/2016,61,43,21,17,9,4
1/24/2016,77,55,14,35,8,6
1/25/2016,71,77,5,67,12,12
1/26/2016,125,66,12,53,12,10
1/27/2016,106,60,6,69,10,11
1/28/2016,103,54,5,50,11,9
1/29/2016,93,42,10,48,9,10
1/30/2016,91,44,20,22,8,5
1/31/2016,81,43,17,27,9,5
2/1/2016,74,49,16,38,9,6
2/2/2016,81,62,13,63,10,10
2/3/2016,106,61,20,49,10,10
2/4/2016,108,50,19,38,10,6
2/5/2016,79,56,22,25,10,5
2/6/2016,91,51,17,38,9,6
2/7/2016,90,64,32,34,12,7
2/8/2016,116,59,26,20,11,5
2/9/2016,94,43,12,53,9,8
2/10/2016,85,51,8,60,10,9
2/11/2016,90,40,11,52,7,9
2/12/2016,85,17,7,43,7,8
2/13/2016,46,32,22,16,6,4
2/14/2016,68,36,24,19,6,4
2/15/2016,54,32,18,34,7,5
2/16/2016,67,43,18,41,8,6
2/17/2016,65,48,26,46,9,6
2/18/2016,82,79,10,51,11,12
2/19/2016,129,51,27,37,8,6
2/20/2016,69,29,28,20,7,4
2/21/2016,52,46,13,49,8,6
2/22/2016,71,55,27,34,8,6
2/23/2016,91,36,22,29,7,5
2/24/2016,71,51,22,40,10,7
2/25/2016,91,52,20,43,11,7
2/26/2016,94,69,20,45,10,7
2/27/2016,129,50,20,50,8,7
2/28/2016,97,61,23,23,8,5
2/29/2016,99,36,25,27,8,4
3/1/2016,72,42,21,44,9,5
3/2/2016,82,57,18,51,8,6
3/3/2016,103,73,18,58,8,7
3/4/2016,123,26,9,40,6,6
3/5/2016,59,78,28,25,6,5
3/6/2016,79,98,5,61,8,7
3/7/2016,101,68,21,26,7,5
3/8/2016,77,49,24,20,7,4
3/9/2016,63,38,28,20,7,4
3/10/2016,58,39,27,25,8,4
3/11/2016,72,51,25,38,9,5
3/12/2016,78,63,33,39,9,6
3/13/2016,115,66,33,29,7,6
3/14/2016,140,59,21,51,11,7
3/15/2016,100,66,30,61,12,7
3/16/2016,114,73,10,91,11,11
3/17/2016,120,67,26,71,10,10
3/18/2016,118,75,30,42,8,7
3/19/2016,134,79,33,49,11,8
3/20/2016,144,82,31,62,11,9
3/21/2016,152,72,33,55,9,7
3/22/2016,141,75,32,34,9,6
3/23/2016,134,43,27,31,7,4
3/24/2016,82,72,28,50,9,6
3/25/2016,122,69,28,52,8,6
3/26/2016,137,69,40,41,10,7
3/27/2016,140,67,33,55,12,7
3/28/2016,129,87,46,43,13,8
3/29/2016,152,85,31,43,10,7
3/30/2016,137,55,21,69,10,7
3/31/2016,84,72,32,75,11,8
10/1/2015,39,32,27,22,6,3
10/2/2015,44,45,34,22,7,4
10/3/2015,70,30,23,27,7,4
10/4/2015,51,32,21,46,7,5
10/5/2015,64,35,19,52,7,6
10/6/2015,71,47,18,54,7,7
10/7/2015,85,59,29,49,8,7
10/8/2015,103,36,28,19,7,3
10/9/2015,46,26,23,30,7,4
10/10/2015,52,18,19,22,6,4
10/11/2015,41,19,19,20,7,4
10/12/2015,41,30,24,36,7,6
10/13/2015,59,53,14,56,9,9
10/14/2015,96,62,24,71,10,10
10/15/2015,114,73,24,77,10,11
10/16/2015,133,64,27,63,8,9
10/17/2015,117,71,44,52,8,9
10/18/2015,132,87,28,53,9,10
10/19/2015,163,89,30,51,10,10
10/20/2015,162,97,33,49,10,10
10/21/2015,166,78,21,44,8,8
10/22/2015,135,55,21,42,9,7
10/23/2015,100,38,23,34,7,7
10/24/2015,80,33,26,33,6,5
10/25/2015,65,37,11,44,7,6
10/26/2015,69,37,22,24,6,5
10/27/2015,52,34,21,30,8,4
10/28/2015,51,25,19,31,7,5
10/29/2015,53,32,22,20,7,4
10/30/2015,49,32,17,32,7,5
10/31/2015,59,45,8,52,7,7
11/1/2015,77,56,15,52,9,9
11/2/2015,88,71,22,59,10,11
11/3/2015,126,81,10,81,12,12
11/4/2015,161,76,20,73,9,12
11/5/2015,155,54,22,38,6,7
11/6/2015,113,12,24,23,5,5
11/7/2015,35,5,23,20,5,4
11/8/2015,14,12,15,28,6,5
11/9/2015,30,51,8,38,6,9
11/10/2015,108,45,5,49,7,9
11/11/2015,93,17,13,35,6,6
11/12/2015,45,15,8,35,5,6
11/13/2015,39,12,11,39,5,6
11/14/2015,33,21,12,35,7,6
11/15/2015,51,31,3,39,6,8
11/16/2015,72,19,16,34,7,7
11/17/2015,52,12,17,25,5,5
11/18/2015,27,16,13,33,6,5
11/19/2015,34,38,11,40,7,8
11/20/2015,79,52,11,47,8,10
11/21/2015,110,33,13,36,7,8
11/22/2015,75,9,17,27,6,5
11/23/2015,21,27,17,27,6,6
11/24/2015,64,13,18,26,5,5
11/25/2015,39,37,22,20,7,5
11/26/2015,89,45,22,25,8,6
11/27/2015,97,49,9,42,9,9
11/28/2015,99,44,4,37,6,8
11/29/2015,104,49,13,38,9,10
11/30/2015,108,61,5,59,9,12
12/1/2015,110,57,10,46,9,12
12/2/2015,112,21,18,22,6,5
12/3/2015,46,46,18,28,7,6
12/4/2015,66,38,18,37,9,8
12/5/2015,70,38,16,37,8,7
12/6/2015,75,55,3,55,8,11
12/7/2015,101,63,3,70,10,13
12/8/2015,117,73,3,67,11,14
12/9/2015,125,48,2,52,9,11
12/10/2015,97,36,16,33,8,8
12/11/2015,79,31,18,39,8,7
12/12/2015,66,44,8,51,9,10
12/13/2015,88,50,2,51,8,10
12/14/2015,101,59,14,37,9,9
12/15/2015,115,32,21,19,8,5
12/16/2015,58,21,19,18,7,4
12/17/2015,45,46,6,46,9,10
12/18/2015,82,65,4,53,9,12
12/19/2015,119,59,9,54,9,13
12/20/2015,107,55,4,46,8,10
12/21/2015,106,64,4,47,9,11
12/22/2015,121,58,6,56,9,12
12/23/2015,112,88,13,49,13,12
12/24/2015,161,32,20,28,9,5
12/25/2015,63,68,12,40,10,10
12/26/2015,113,33,20,23,7,5
12/27/2015,66,27,16,27,8,6
12/28/2015,55,61,5,56,11,12
12/29/2015,100,62,9,54,9,12
12/30/2015,111, , , , , 
7/1/2015,75,48,48,22,8,6
7/2/2015,104,44,35,22,8,5
7/3/2015,95,34,53,32,8,4
7/4/2015,76,38,51,26,10,5
7/5/2015,85,33,40,31,7,4
7/6/2015,75,39,36,36,7,4
7/7/2015,85,11,30,19,6,3
7/8/2015,26,11,23,18,5,3
7/9/2015,28,19,32,28,6,4
7/10/2015,46,30,45,37,6,5
7/11/2015,73,11,9,12,5,3
7/12/2015,30,27,34,16,7,4
7/13/2015,57,66,50,28,8,6
7/14/2015,127,53,39,30,8,6
7/15/2015,106,12,25,12,6,2
7/16/2015,21,12,24,16,6,3
7/17/2015,24,30,28,26,6,3
7/18/2015,64,26,31,20,6,4
7/19/2015,68,23,11,24,7,4
7/20/2015,62,27,17,28,6,4
7/21/2015,63,34,21,42,6,5
7/22/2015,79,27,17,37,7,5
7/23/2015,72,15,11,29,6,4
7/24/2015,42,20,11,19,6,3
7/25/2015,52,19,11,14,6,3
7/26/2015,46,30,6,22,7,4
7/27/2015,66,40,28,24,8,4
7/28/2015,90,36,18,29,7,5
7/29/2015,83,68,47,22,7,6
7/30/2015,147,59,45,24,8,5
7/31/2015,130,51,37,22,8,4
8/1/2015,111,34,25,16,6,3
8/2/2015,79,34,20,17,9,4
8/3/2015,78,28,17,17,8,3
8/4/2015,68,35,36,20,7,3
8/5/2015,82,36,46,26,8,4
8/6/2015,84,42,52,35,6,5
8/7/2015,95,36,31,33,6,5
8/8/2015,82,22,32,19,6,3
8/9/2015,56,31,34,21,6,3
8/10/2015,69,59,34,33,7,7
8/11/2015,119,53,56,29,8,6
8/12/2015,111,43,29,32,6,5
8/13/2015,89,41,48,33,7,5
8/14/2015,86,59,66,22,8,7
8/15/2015,126,67,45,22,7,7
8/16/2015,138,28,38,23,6,4
8/17/2015,70,23,33,24,7,3
8/18/2015,58,39,31,36,7,5
8/19/2015,80,37,15,44,9,5
8/20/2015,83,31,25,29,7,4
8/21/2015,80,40,42,26,7,4
8/22/2015,92,39,66,24,7,5
8/23/2015,87,33,30,21,6,4
8/24/2015,74,8,22,15,6,2
8/25/2015,17,10,19,19,7,3
8/26/2015,24,22,34,25,7,3
8/27/2015,51,31,16,46,8,6
8/28/2015,67,35,36,41,8,5
8/29/2015,82,36,46,26,6,4
8/30/2015,83,37,38,35,6,5
8/31/2015,86,27,33,19,6,4
9/1/2015,73,27,20,30,6,4
9/2/2015,68,26,36,29,6,5
9/3/2015,65,33,32,31,7,5
9/4/2015,77,36,17,35,7,5
9/5/2015,81,15,30,13,6,3
9/6/2015,37,13,25,23,6,3
9/7/2015,29,13,23,23,6,3
9/8/2015,32,17,29,22,6,3
9/9/2015,37,30,29,26,7,3
9/10/2015,53,44,21,30,7,6
9/11/2015,87,22,24,28,6,4
9/12/2015,54,23,36,17,7,3
9/13/2015,48,35,30,40,7,5
9/14/2015,71,30,31,37,6,4
9/15/2015,68,17,27,28,6,4
9/16/2015,38,13,25,20,6,3
9/17/2015,26,19,23,30,6,3
9/18/2015,42,34,27,36,6,4
9/19/2015,65,52,43,31,8,6
9/20/2015,103,53,35,41,7,7
9/21/2015,105,46,42,46,7,6
9/22/2015,94,45,13,61,7,6
9/23/2015,88,42,30,46,7,5
9/24/2015,85,38,35,42,7,5
9/25/2015,83,53,39,31,7,6
9/26/2015,102,39,31,31,6,4
9/27/2015,68,33,34,30,6,4
9/28/2015,61,28,34,16,6,3
9/29/2015,48,19,24,24,6,3
9/30/2015,35,18,24,28,5,4
4/1/2015,67,26,22,25,6,5
4/2/2015,61,35,14,33,6,8
4/3/2015,73,18,24,26,6,5
4/4/2015,38,18,24,25,6,4
4/5/2015,46,54,23,33,7,6
4/6/2015,82,46,18,27,6,5
4/7/2015,76,30,26,28,7,5
4/8/2015,67,55,23,53,10,7
4/9/2015,99,58,37,49,11,7
4/10/2015,100,68,30,53,10,8
4/11/2015,115,55,34,37,8,6
4/12/2015,100,30,37,18,6,4
4/13/2015,63,23,31,29,6,5
4/14/2015,65,40,35,36,9,7
4/15/2015,85,72,22,40,9,7
4/16/2015,107,68,31,37,8,5
4/17/2015,72,62,26,56,9,7
4/18/2015,74,36,21,36,7,6
4/19/2015,62,13,33,27,6,4
4/20/2015,33,45,28,50,9,7
4/21/2015,82,67,36,43,13,7
4/22/2015,116,63,37,52,10,8
4/23/2015,120,68,41,33,10,6
4/24/2015,111,61,26,45,9,6
4/25/2015,77,40,26,41,12,6
4/26/2015,68,57,44,39,13,5
4/27/2015,90,49,31,49,9,6
4/28/2015,85,50,20,36,8,5
4/29/2015,95,34,32,36,7,5
4/30/2015,73,48,40,51,9,6
5/1/2015,93,39,33,40,9,6
5/2/2015,85,28,15,26,7,5
5/3/2015,69,50,30,24,7,4
5/4/2015,64,42,33,25,8,4
5/5/2015,55,49,27,45,11,6
5/6/2015,68,47,32,53,9,6
5/7/2015,73,57,30,49,11,6
5/8/2015,98,45,37,33,9,5
5/9/2015,78,44,34,29,8,5
5/10/2015,73,48,29,39,8,5
5/11/2015,82,37,35,20,8,5
5/12/2015,62,61,43,26,10,6
5/13/2015,85,56,41,31,9,5
5/14/2015,99,86,36,33,9,8
5/15/2015,149,54,43,38,9,6
5/16/2015,91,57,45,33,11,7
5/17/2015,110,48,36,49,8,6
5/18/2015,88,51,36,28,7,6
5/19/2015,104,46,32,26,7,5
5/20/2015,74,46,45,36,10,6
5/21/2015,80,55,43,44,14,6
5/22/2015,100,49,48,50,9,6
5/23/2015,89,34,55,33,7,5
5/24/2015,69,46,45,40,9,5
5/25/2015,87,44,36,45,9,5
5/26/2015,84,43,48,59,7,6
5/27/2015,80,44,56,55,9,5
5/28/2015,87,49,39,60,9,6
5/29/2015,93,44,23,34,7,4
5/30/2015,90,44,46,32,7,5
5/31/2015,88,40,41,46,12,5
6/1/2015,82,39,40,38,8,5
6/2/2015,84,45,33,19,6,3
6/3/2015,64,43,47,41,8,6
6/4/2015,71,36,28,43,8,6
6/5/2015,73,35,57,31,7,5
6/6/2015,74,34,65,26,8,4
6/7/2015,72,39,41,33,9,4
6/8/2015,81,48,39,24,7,4
6/9/2015,96,52,67,39,7,6
6/10/2015,100,43,37,35,7,5
6/11/2015,87,47,51,25,7,5
6/12/2015,90,72,50,32,8,6
6/13/2015,118,34,56,17,7,4
6/14/2015,69,40,45,28,6,5
6/15/2015,84,51,49,38,7,7
6/16/2015,98,40,39,37,7,6
6/17/2015,89,31,36,24,6,4
6/18/2015,72,23,42,21,6,4
6/19/2015,56,40,21,32,6,6
6/20/2015,88,23,43,21,6,5
6/21/2015,58,34,40,37,8,5
6/22/2015,78,36,45,32,9,5
6/23/2015,79,45,61,38,8,6
6/24/2015,93,44,40,40,8,6
6/25/2015,92,13,34,19,6,3
6/26/2015,36,11,37,19,6,3
6/27/2015,33,25,44,29,7,4
6/28/2015,60,25,45,28,8,4
6/29/2015,65,33,30,32,7,4
6/30/2015,79,34,42,22,7,5
1/1/2015,54,32,14,22,9,4
1/2/2015,61,43,4,43,12,8
1/3/2015,84,48,4,61,11,9
1/4/2015,98,71,3,63,13,13
1/5/2015,132,40,18,23,8,5
1/6/2015,59,39,15,52,22,4
1/7/2015,59,47,10,57,32,6
1/8/2015,83,53,6,62,11,10
1/9/2015,95,44,10,42,11,8
1/10/2015,82,50,18,26,11,6
1/11/2015,89,49,13,41,11,7
1/12/2015,92,62,8,63,12,12
1/13/2015,111,72,32,68,14,14
1/14/2015,131,64,7,61,13,11
1/15/2015,120,77,15,37,11,10
1/16/2015,146,39,17,22,9,5
1/17/2015,74,36,9,40,9,7
1/18/2015,70,64,15,28,11,8
1/19/2015,121,52,6,49,9,8
1/20/2015,94,64,4,59,11,12
1/21/2015,113,50,12,51,10,9
1/22/2015,100,46,9,46,10,9
1/23/2015,93,57,13,52,11,8
1/24/2015,106,67,4,51,9,9
1/25/2015,124,44,19,38,8,9
1/26/2015,100,54,18,25,9,6
1/27/2015,98,50,14,37,9,6
1/28/2015,73,56,10,51,9,10
1/29/2015,97,43,18,29,10,6
1/30/2015,79,46,12,32,10,5
1/31/2015,77,34,13,36,8,6
2/1/2015,71,48,19,54,9,10
2/2/2015,91,64,4,67,11,12
2/3/2015,119,76,14,62,13,14
2/4/2015,148,83,18,39,17,12
2/5/2015,159,58,16,43,12,8
2/6/2015,106,53,17,47,12,9
2/7/2015,93,87,20,13,7,3
2/8/2015,55,41,15,27,10,5
2/9/2015,68,82,16,50,20,11
2/10/2015,133,79,15,51,15,11
2/11/2015,133,42,21,23,9,4
2/12/2015,63,36,20,30,9,5
2/13/2015,69,58,8,53,11,9
2/14/2015,104,76,24,42,12,9
2/15/2015,139,46,26,41,7,8
2/16/2015,96,62,18,28,8,8
2/17/2015,126,63,19,25,9,9
2/18/2015,139,64,17,40,9,10
2/19/2015,138,57,22,44,8,9
2/20/2015,117,29,12,43,7,6
2/21/2015,66,202,20,28,7,5
2/22/2015,92,554,16,25,7,5
2/23/2015,180,91,16,37,9,7
2/24/2015,99,70,18,43,10,8
2/25/2015,102,39,20,22,8,4
2/26/2015,74,34,22,23,8,4
2/27/2015,72,50,9,45,9,7
2/28/2015,90,80,22,27,8,6
3/1/2015,103,80,20,41,10,7
3/2/2015,94,55,17,43,10,6
3/3/2015,93,45,24,16,7,4
3/4/2015,70,49,19,37,8,6
3/5/2015,100,52,12,57,10,9
3/6/2015,102,55,20,54,10,9
3/7/2015,103,70,26,52,13,10
3/8/2015,145,64,23,29,11,6
3/9/2015,106,33,23,14,7,3
3/10/2015,48,43,22,26,10,5
3/11/2015,74,37,23,30,9,4
3/12/2015,59,50,28,34,9,5
3/13/2015,85,43,17,39,10,5
3/14/2015,78,48,22,55,13,8
3/15/2015,92,78,15,63,13,10
3/16/2015,120,106,7,90,17,14
3/17/2015,167,77,21,49,10,8
3/18/2015,135,58,17,48,9,7
3/19/2015,101,87,23,68,12,10
3/20/2015,131,127,39,63,20,11
3/21/2015,155,115,28,34,12,8
3/22/2015,121,58,29,19,8,4
3/23/2015,56,49,24,39,9,5
3/24/2015,77,48,20,48,10,6
3/25/2015,85,51,24,52,12,6
3/26/2015,87,59,27,52,12,7
3/27/2015,99,52,28,50,12,7
3/28/2015,89,64,25,34,10,5
3/29/2015,110,115,29,53,10,9
3/30/2015,149,98,18,54,10,10
3/31/2015,164,29,26,29,7,6
10/1/2014,49,27,20,26,6,4
10/2/2014,77,36,11,42,8,6
10/3/2014,66,25,27,24,7,8
10/4/2014,50,22,21,26,6,5
10/5/2014,44,19,30,15,5,2
10/6/2014,45,33,21,41,7,4
10/7/2014,72,39,18,56,7,5
10/8/2014,80,46,33,51,7,6
10/9/2014,94,46,24,41,6,5
10/10/2014,92,32,25,26,5,4
10/11/2014,72,33,24,35,6,4
10/12/2014,71,26,22,20,5,3
10/13/2014,47,28,17,27,5,3
10/14/2014,43,39,26,43,7,5
10/15/2014,77,42,21,32,6,4
10/16/2014,64,37,17,44,7,5
10/17/2014,66,43,12,57,8,7
10/18/2014,78,59,21,48,8,7
10/19/2014,111,35,11,44,6,6
10/20/2014,83,15,8,30,5,5
10/21/2014,43,17,17,25,6,3
10/22/2014,46,30,13,45,6,5
10/23/2014,66,44,13,57,7,7
10/24/2014,93,53,17,52,8,7
10/25/2014,105,41,22,32,7,5
10/26/2014,84,45,17,27,6,3
10/27/2014,64,62,8,58,8,5
10/28/2014,97,64,5,79,8,9
10/29/2014,107,63,4,85,9,10
10/30/2014,123,47,10,66,8,8
10/31/2014,76,42,19,43,7,5
11/1/2014,87,57,37,15,6,3
11/2/2014,98,42,18,25,7,3
11/3/2014,58,33,11,47,7,5
11/4/2014,63,35,14,51,8,6
11/5/2014,71,58,22,49,10,6
11/6/2014,101,54,8,50,8,5
11/7/2014,78,64,3,64,9,8
11/8/2014,102,61,25,39,7,6
11/9/2014,101,59,11,64,8,9
11/10/2014,99,69,10,73,9,11
11/11/2014,127,42,19,18,7,3
11/12/2014,66,65,18,19,6,3
11/13/2014,40,35,12,46,9,6
11/14/2014,63,36,12,39,8,6
11/15/2014,70,51,9,55,11,7
11/16/2014,91,36,16,35,7,6
11/17/2014,85,38,15,41,7,6
11/18/2014,87,59,9,64,9,11
11/19/2014,111,65,8,71,10,12
11/20/2014,122,63,9,68,10,10
11/21/2014,120,48,6,62,8,8
11/22/2014,101,66,12,41,7,7
11/23/2014,126,68,2,53,9,9
11/24/2014,130,34,15,33,7,6
11/25/2014,76,33,15,40,6,6
11/26/2014,69,54,3,62,8,10
11/27/2014,103,29,7,45,6,7
11/28/2014,71,20,7,36,5,6
11/29/2014,46,15,12,32,6,6
11/30/2014,43,44,16,15,6,4
12/1/2014,51,74,14,18,7,4
12/2/2014,49,28,8,31,8,4
12/3/2014,57,48,13,25,9,5
12/4/2014,59,33,17,20,9,4
12/5/2014,53,37,15,21,8,4
12/6/2014,55,51,6,39,10,7
12/7/2014,81,45,13,36,9,7
12/8/2014,84,54,7,52,11,10
12/9/2014,97,54,2,67,11,12
12/10/2014,108,51,13,31,9,7
12/11/2014,94,43,9,39,9,7
12/12/2014,90,34,15,20,9,5
12/13/2014,64,38,8,39,11,7
12/14/2014,76,51,2,49,8,10
12/15/2014,98,34,16,23,9,6
12/16/2014,69,22,19,16,8,3
12/17/2014,33,30,17,35,9,6
12/18/2014,59,50,3,56,10,10
12/19/2014,96,31,15,32,9,6
12/20/2014,70,21,13,23,8,4
12/21/2014,54,30,7,48,8,8
12/22/2014,72,49,3,67,10,14
12/23/2014,103,54,13,57,13,12
12/24/2014,108,31,16,23,9,5
12/25/2014,68,38,8,40,10,6
12/26/2014,80,58,4,63,10,12
12/27/2014,110,62,2,72,10,14
12/28/2014,122, , , , , 
8/2/2014,32,14,18,18,6,2
8/3/2014,21,9,23,13,6,2
8/4/2014,27,10,19,23,6,4
8/5/2014,89,47,36,27,7,5
8/6/2014,100,49,37,39,7,5
8/7/2014,82,43,13,47,6,7
8/8/2014,47,21,29,23,6,4
8/9/2014,51,22,36,16,5,4
8/10/2014,33,12,28,15,5,3
8/11/2014,48,26,30,24,6,4
8/12/2014,113,59,48,28,7,5
8/13/2014,147,67,20,40,7,8
8/14/2014,73,30,20,33,5,5
8/15/2014,76,35,30,32,6,5
8/16/2014,84,44,37,32,6,5
8/17/2014,84,43,7,37,5,6
8/18/2014,19,8,16,22,5,4
8/19/2014,33,15,17,35,6,5
8/20/2014,69,34,12,41,6,6
8/21/2014,42,17,13,33,5,5
8/22/2014,114,62,45,30,8,8
8/23/2014,154,71,40,28,9,7
8/24/2014,119,61,48,34,7,7
8/25/2014,109,49,26,25,5,6
8/26/2014,36,13,30,25,5,4
8/27/2014,22,9,22,21,5,4
8/28/2014,34,19,31,29,6,4
